Enrollees,Year,Grade Level
"1,964,338",2016-2017,Grade 1
"2,051,763",2016-2017,Grade 2
"2,152,883",2016-2017,Grade 3
"2,180,849",2016-2017,Grade 4
"2,355,863",2016-2017,Grade 5
"2,137,989",2016-2017,Grade 6
"1,782,780",2016-2017,Grade 7
"1,609,838",2016-2017,Grade 8
"1,467,669",2016-2017,Grade 9
"1,315,661",2016-2017,Grade 10
"731,981",2016-2017,Grade 11
"646,618",2016-2017,Grade 12
"1,733,379",2017-2018,Grade 1
"1,918,489",2017-2018,Grade 2
"2,022,639",2017-2018,Grade 3
"2,114,589",2017-2018,Grade 4
"2,137,411",2017-2018,Grade 5
"2,287,531",2017-2018,Grade 6
"1,862,178",2017-2018,Grade 7
"1,670,380",2017-2018,Grade 8
"1,513,564",2017-2018,Grade 9
"1,363,205",2017-2018,Grade 10
"748,524",2017-2018,Grade 11
"719,788",2017-2018,Grade 12
"2,115,902",2018-2019,Grade 1
"1,736,403",2018-2019,Grade 2
"1,908,656",2018-2019,Grade 3
"2,004,883",2018-2019,Grade 4
"2,090,783",2018-2019,Grade 5
"2,096,303",2018-2019,Grade 6
"2,039,781",2018-2019,Grade 7
"1,805,549",2018-2019,Grade 8
"1,579,759",2018-2019,Grade 9
"1,415,160",2018-2019,Grade 10
"878,850",2018-2019,Grade 11
"815,763",2018-2019,Grade 12
"1,991,719",2019-2020,Grade 1
"1,879,092",2019-2020,Grade 2
"1,564,620",2019-2020,Grade 3
"1,711,263",2019-2020,Grade 4
"1,793,977",2019-2020,Grade 5
"1,852,924",2019-2020,Grade 6
"1,897,558",2019-2020,Grade 7
"1,922,240",2019-2020,Grade 8
"1,702,298",2019-2020,Grade 9
"1,339,323",2019-2020,Grade 10
"851,645",2019-2020,Grade 11
"791,314",2019-2020,Grade 12
"1,911,095",2020-2021,Grade 1
"2,168,542",2020-2021,Grade 2
"2,065,527",2020-2021,Grade 3
"1,716,997",2020-2021,Grade 4
"1,883,581",2020-2021,Grade 5
"1,953,530",2020-2021,Grade 6
"1,799,118",2020-2021,Grade 7
"1,804,306",2020-2021,Grade 8
"1,822,478",2020-2021,Grade 9
"1,616,475",2020-2021,Grade 10
"1,104,019",2020-2021,Grade 11
"2,051,763",2020-2021,Grade 12